Site Name,Site Location,Site Description,AP Name,AP Description,AP Mac,AP IPV4,AP IPV6,Firmware Version,Uptime,Downtime,Model,AP Status,AP Serial No,Created At,2.4 Radio Mac,5 Radio Mac,802.11an Status,802.11bgn Status,WLAN List,Min CPU Utilization,Max CPU Utilization,Avg CPU Utilization,Min Memory Utilization,Max Memory Utilization,Avg Memory Utilization,Min Latency(ms),Max Latency(ms),Avg Latency(ms),SAP ID,Last Seen Date & Time,Ethernet Speed(Mbps),Duplex Status,Partition 0 Firmware Version,Partition 1 Firmware Version,Active Partition Firmware Version,Allow Device Specific Radio Config,Allow Site Specific Radio Config,Group Name,apGroupName,subAPGroup1,subAPGroup2,subAPGroup3,subAPGroup4,First Online Time
Guest_BLR | TEST-A | TEST-A,D32,,PALC,,00:06:ae:6d:7b:0d,192.168.171.108,,12.1.0.16,6 Days 18:4:16,,ion4xi,Online,2202723600001,12-05-2025 11:08,,00:06:ae:6d:7a:fc,Enabled,Disabled,Guest_Network;Test_Network,9.1,9.26,9.16,70.7,72.89,71.82,17.19,29.71,19.24,6361,08-05-2025 17:03:48,"['1000', '0']","['Full', 'Unknown']",12.1.0.16,12.1.0.14,0,Disabled,Disabled,Guest_BLR | TEST-A, TEST-A, TEST-A ,Guest_BLR ,,,10-01-2025 04:41
5G_R&D,BLR,,Zone_B1,,00:06:ae:60:0f:57,172.24.23.138,,12.1.0.14,36 Days 19:27:19,,ion4xi,Online,2303723601052,12-05-2025 11:08,,00:06:ae:60:0f:46,Enabled,Disabled,5G_R&D,4.75,4.76,4.75,48.1,48.5,48.29,18.15,33.32,21.62,1111,09-05-2025 16:50:23,"['1000', '0']","['Full', 'Unknown']",12.0.2.16,12.1.0.14,1,Disabled,Disabled,5G_R&D,5G_R&D,,,,,04-04-2024 11:17
5G_R&D,BLR,,Zone-A,Zone A,00:06:ae:60:7b:b7,172.24.22.36,,12.1.0.14,11 Days 0:59:45,,ion4xi,Online,2303723600258,12-05-2025 11:08,,00:06:ae:60:7b:a6,Enabled,Disabled,5G_R&D,3.23,3.25,3.23,47.04,47.43,47.22,18.48,33.27,21.63,1111,08-05-2025 11:27:21,"['1000', '0']","['Full', 'Unknown']",12.1.0.14,12.1.0.1,0,Disabled,Disabled,5G_R&D,5G_R&D,,,,,04-01-2024 09:25
5G_R&D,BLR,,ion12xi_h2,,00:06:ae:84:f8:33,172.24.21.149,,17.1.0.16,10 Days 2:27:0,,ion12xi_h2,Online,2404722001874,12-05-2025 11:08,,00:06:ae:84:f8:23,Enabled,Disabled,5G_R&D,7.3,7.35,7.32,34.35,35.25,34.79,17.93,32.59,21.23,1111,09-05-2025 19:02:48,"['0', '1000']","['Unknown', 'Full']",17.1.0.16,17.1.0.14,0,Disabled,Disabled,5G_R&D,5G_R&D,,,,,21-11-2024 06:21
BLR-WIFILAB,ban,,HFCL-cb:00:33,,00:06:ae:cb:00:33,192.168.171.7,,12.1.0.16,5 Days 22:35:7,,ion4xe,Online,2407723800437,12-05-2025 11:08,00:06:ae:cb:00:12,00:06:ae:cb:00:22,Enabled,Enabled,wifilab,10.26,10.29,10.27,67.46,69.2,68.37,17.3,30.57,19.65,ban,09-05-2025 12:22:42,"['1000', '0']","['Full', 'Unknown']",12.1.0.16,12.1.0.15,0,Disabled,Disabled,BLR-WIFILAB,BLR-WIFILAB,,,,,27-01-2025 07:50
Guest_BLR | TEST-A | TEST-A,D32,,Wallplate,,00:06:ae:c4:57:66,192.168.70.92,,13.1.0.16,5 Days 22:7:59,,ion4xi_WP,Online,2305722604239,12-05-2025 11:08,,00:06:ae:c4:57:52,Enabled,Disabled,Guest_Network;Test_Network,16.99,17.42,17.18,66.63,68.73,67.69,17.45,30.51,19.65,6361,08-05-2025 12:27:31,"['1000', '0', '0', '0', '0']","['Full', 'Half', 'Unknown', 'Unknown', 'Unknown']",13.1.0.15,13.1.0.16,1,Disabled,Disabled,Guest_BLR | TEST-A, TEST-A, TEST-A ,Guest_BLR ,,,25-04-2025 07:16
5G_R&D,BLR,,Zone-D2,ZONE D2,00:06:ae:60:57:db,172.24.22.103,,12.1.0.14,11 Days 1:9:42,,ion4xi,Online,2303723600535,12-05-2025 11:08,,00:06:ae:60:57:ca,Enabled,Disabled,5G_R&D,5.27,5.34,5.29,47.45,47.84,47.64,18.55,33.37,21.52,1111,08-05-2025 19:18:58,"['1000', '0']","['Full', 'Unknown']",12.1.0.14,12.1.0.1,0,Disabled,Disabled,5G_R&D,5G_R&D,,,,,10-01-2024 05:09
IopassTEST,GGN,,AP-1,,00:06:ae:86:9c:53,14.14.247.182,,17.0.10.3,6 Days 0:56:44,18 Days 22:58:10,ion12xi_h2,Offline,2404722000632,12-05-2025 11:08,,00:06:ae:86:9c:43,Enabled,Disabled,,,,,,,,,,,4514451,23-04-2025 12:09:52,,,17.1.0.14,17.0.10.3,1,Disabled,Disabled,IopassTEST,IopassTEST,,,,,15-04-2025 10:41
BLR-WIFILAB,ban,,HFCL-63:00:23,WiFi_A,00:06:ae:63:00:23,192.168.170.63,,12.0.5.12,31 Days 5:36:41,153 Days 17:24:26,ion4xi,Offline,2211723601321,12-05-2025 11:08,,,,,,,,,,,,,,,ban,09-12-2024 17:43:36,,,12.0.5.11,12.0.5.12,1,Disabled,Disabled,BLR-WIFILAB,BLR-WIFILAB,,,,,04-01-2024 08:13
Demo,ban,,Demo,,00:06:ae:60:9d:95,192.168.180.131,,12.0.4.5,0:26:23,222 Days 16:39:28,ion4xi,Offline,2302723601058,12-05-2025 11:08,00:06:ae:60:9d:74,00:06:ae:60:9d:84,Enabled,Enabled,,,,,,,,,,,1234,01-10-2024 18:28:34,,,12.0.2.28,12.0.4.5,1,Disabled,Disabled,Demo,Demo,,,,,01-10-2024 12:03
5G_R&D,BLR,,Zone-D1,,00:06:ae:60:65:89,172.24.19.237,,12.1.0.1,54 Days 6:27:45,174 Days 16:35:57,ion4xi,Offline,2303723600402,12-05-2025 11:08,00:06:ae:60:65:68,00:06:ae:60:65:78,Enabled,Enabled,,,,,,,,,,,1111,18-11-2024 18:32:05,,,12.0.2.7,12.1.0.1,1,Disabled,Disabled,5G_R&D,5G_R&D,,,,,24-01-2024 10:05
BLR-WIFILAB,ban,,HFCL3,,00:06:ae:63:03:31,192.168.171.55,,12.0.9.7,0:26:37,104 Days 21:42:29,ion4xi,Offline,2211723601284,12-05-2025 11:08,00:06:ae:63:03:10,00:06:ae:63:03:20,Enabled,Enabled,,,,,,,,,,,ban,27-01-2025 13:25:33,,,12.0.9.7,12.0.4.14ac,0,Disabled,Disabled,BLR-WIFILAB,BLR-WIFILAB,,,,,15-01-2025 06:17
